group,function,value,sample_time_nanos,iteration_count
"nand(false, true)",,,12371192.0,1
"nand(false, true)",,,26434787.0,2
"nand(false, true)",,,41756130.0,3
"nand(false, true)",,,50026855.0,4
"nand(false, true)",,,66405927.0,5
"nand(false, true)",,,75368247.0,6
"nand(false, true)",,,87107347.0,7
"nand(false, true)",,,98522770.0,8
"nand(false, true)",,,127518258.0,9
"nand(false, true)",,,123379639.0,10
"nand(false, true)",,,132678090.0,11
"nand(false, true)",,,146354090.0,12
"nand(false, true)",,,161198005.0,13
"nand(false, true)",,,176871442.0,14
"nand(false, true)",,,188878299.0,15
"nand(false, true)",,,197979243.0,16
"nand(false, true)",,,204885317.0,17
"nand(false, true)",,,217509341.0,18
"nand(false, true)",,,214785220.0,19
"nand(false, true)",,,254174306.0,20
"nand(false, true)",,,231897568.0,21
"nand(false, true)",,,245485519.0,22
"nand(false, true)",,,257521505.0,23
"nand(false, true)",,,311527394.0,24
"nand(false, true)",,,286591515.0,25
"nand(false, true)",,,303534411.0,26
"nand(false, true)",,,318724287.0,27
"nand(false, true)",,,319872949.0,28
"nand(false, true)",,,338262726.0,29
"nand(false, true)",,,347935731.0,30
"nand(false, true)",,,351499125.0,31
"nand(false, true)",,,363541951.0,32
"nand(false, true)",,,380485218.0,33
"nand(false, true)",,,380640996.0,34
"nand(false, true)",,,395652872.0,35
"nand(false, true)",,,412643122.0,36
"nand(false, true)",,,419035763.0,37
"nand(false, true)",,,430546698.0,38
"nand(false, true)",,,437203785.0,39
"nand(false, true)",,,462528880.0,40
"nand(false, true)",,,464757571.0,41
"nand(false, true)",,,475476459.0,42
"nand(false, true)",,,484365798.0,43
"nand(false, true)",,,495984241.0,44
"nand(false, true)",,,509821296.0,45
"nand(false, true)",,,519678398.0,46
"nand(false, true)",,,525835651.0,47
"nand(false, true)",,,543689135.0,48
"nand(false, true)",,,546003354.0,49
"nand(false, true)",,,565379294.0,50
"nand(false, true)",,,568196181.0,51
"nand(false, true)",,,596615713.0,52
"nand(false, true)",,,589470305.0,53
"nand(false, true)",,,612048569.0,54
"nand(false, true)",,,627630787.0,55
"nand(false, true)",,,623008515.0,56
"nand(false, true)",,,639503666.0,57
"nand(false, true)",,,657715022.0,58
"nand(false, true)",,,655519284.0,59
"nand(false, true)",,,675625262.0,60
"nand(false, true)",,,687606615.0,61
"nand(false, true)",,,695759865.0,62
"nand(false, true)",,,703856058.0,63
"nand(false, true)",,,711752864.0,64
"nand(false, true)",,,714500840.0,65
"nand(false, true)",,,731425007.0,66
"nand(false, true)",,,747676017.0,67
"nand(false, true)",,,761963581.0,68
"nand(false, true)",,,769216930.0,69
"nand(false, true)",,,780812288.0,70
"nand(false, true)",,,803940100.0,71
"nand(false, true)",,,811600364.0,72
"nand(false, true)",,,838518323.0,73
"nand(false, true)",,,825899446.0,74
"nand(false, true)",,,836444698.0,75
"nand(false, true)",,,847821263.0,76
"nand(false, true)",,,882078414.0,77
"nand(false, true)",,,874010193.0,78
"nand(false, true)",,,882579271.0,79
"nand(false, true)",,,900938232.0,80
"nand(false, true)",,,905462189.0,81
"nand(false, true)",,,911448397.0,82
"nand(false, true)",,,919763764.0,83
"nand(false, true)",,,935335665.0,84
"nand(false, true)",,,948426236.0,85
"nand(false, true)",,,963635118.0,86
"nand(false, true)",,,970553835.0,87
"nand(false, true)",,,983809710.0,88
"nand(false, true)",,,990190395.0,89
"nand(false, true)",,,1009214560.0,90
"nand(false, true)",,,1016701320.0,91
"nand(false, true)",,,1026782110.0,92
"nand(false, true)",,,1036990476.0,93
"nand(false, true)",,,1049450366.0,94
"nand(false, true)",,,1056985878.0,95
"nand(false, true)",,,1075025955.0,96
"nand(false, true)",,,1082113623.0,97
"nand(false, true)",,,1086495300.0,98
"nand(false, true)",,,1104400495.0,99
"nand(false, true)",,,1116326580.0,100
