group,function,value,sample_time_nanos,iteration_count
"feature=spqlios nand(false, true)",,,12546741.0,1
"feature=spqlios nand(false, true)",,,28757304.0,2
"feature=spqlios nand(false, true)",,,36685752.0,3
"feature=spqlios nand(false, true)",,,55095061.0,4
"feature=spqlios nand(false, true)",,,68785675.0,5
"feature=spqlios nand(false, true)",,,73197661.0,6
"feature=spqlios nand(false, true)",,,83714659.0,7
"feature=spqlios nand(false, true)",,,104296359.0,8
"feature=spqlios nand(false, true)",,,121427731.0,9
"feature=spqlios nand(false, true)",,,125103770.0,10
"feature=spqlios nand(false, true)",,,140685574.0,11
"feature=spqlios nand(false, true)",,,152427712.0,12
"feature=spqlios nand(false, true)",,,170112594.0,13
"feature=spqlios nand(false, true)",,,207652068.0,14
"feature=spqlios nand(false, true)",,,239067003.0,15
"feature=spqlios nand(false, true)",,,196615949.0,16
"feature=spqlios nand(false, true)",,,192665923.0,17
"feature=spqlios nand(false, true)",,,219642493.0,18
"feature=spqlios nand(false, true)",,,252589519.0,19
"feature=spqlios nand(false, true)",,,289404588.0,20
"feature=spqlios nand(false, true)",,,262971937.0,21
"feature=spqlios nand(false, true)",,,284082036.0,22
"feature=spqlios nand(false, true)",,,302758737.0,23
"feature=spqlios nand(false, true)",,,295863337.0,24
"feature=spqlios nand(false, true)",,,315417893.0,25
"feature=spqlios nand(false, true)",,,303127704.0,26
"feature=spqlios nand(false, true)",,,336305906.0,27
"feature=spqlios nand(false, true)",,,319465367.0,28
"feature=spqlios nand(false, true)",,,340701321.0,29
"feature=spqlios nand(false, true)",,,345621223.0,30
"feature=spqlios nand(false, true)",,,353913579.0,31
"feature=spqlios nand(false, true)",,,365650713.0,32
"feature=spqlios nand(false, true)",,,374536021.0,33
"feature=spqlios nand(false, true)",,,395240884.0,34
"feature=spqlios nand(false, true)",,,415221011.0,35
"feature=spqlios nand(false, true)",,,465875161.0,36
"feature=spqlios nand(false, true)",,,573329301.0,37
"feature=spqlios nand(false, true)",,,780686179.0,38
"feature=spqlios nand(false, true)",,,686092158.0,39
"feature=spqlios nand(false, true)",,,517727677.0,40
"feature=spqlios nand(false, true)",,,532125709.0,41
"feature=spqlios nand(false, true)",,,541434838.0,42
"feature=spqlios nand(false, true)",,,509575111.0,43
"feature=spqlios nand(false, true)",,,586168375.0,44
"feature=spqlios nand(false, true)",,,584716837.0,45
"feature=spqlios nand(false, true)",,,558887506.0,46
"feature=spqlios nand(false, true)",,,602434250.0,47
"feature=spqlios nand(false, true)",,,555572520.0,48
"feature=spqlios nand(false, true)",,,561010943.0,49
"feature=spqlios nand(false, true)",,,570981332.0,50
"feature=spqlios nand(false, true)",,,594779680.0,51
"feature=spqlios nand(false, true)",,,603134697.0,52
"feature=spqlios nand(false, true)",,,597416840.0,53
"feature=spqlios nand(false, true)",,,607959187.0,54
"feature=spqlios nand(false, true)",,,642569221.0,55
"feature=spqlios nand(false, true)",,,628956951.0,56
"feature=spqlios nand(false, true)",,,639396805.0,57
"feature=spqlios nand(false, true)",,,659495339.0,58
"feature=spqlios nand(false, true)",,,661680387.0,59
"feature=spqlios nand(false, true)",,,684208577.0,60
"feature=spqlios nand(false, true)",,,700070058.0,61
"feature=spqlios nand(false, true)",,,707624215.0,62
"feature=spqlios nand(false, true)",,,718702372.0,63
"feature=spqlios nand(false, true)",,,805725361.0,64
"feature=spqlios nand(false, true)",,,747667249.0,65
"feature=spqlios nand(false, true)",,,783403275.0,66
"feature=spqlios nand(false, true)",,,802881292.0,67
"feature=spqlios nand(false, true)",,,782070798.0,68
"feature=spqlios nand(false, true)",,,835192754.0,69
"feature=spqlios nand(false, true)",,,833274011.0,70
"feature=spqlios nand(false, true)",,,856881771.0,71
"feature=spqlios nand(false, true)",,,1666783758.0,72
"feature=spqlios nand(false, true)",,,876104816.0,73
"feature=spqlios nand(false, true)",,,917009559.0,74
"feature=spqlios nand(false, true)",,,1489605409.0,75
"feature=spqlios nand(false, true)",,,933548634.0,76
"feature=spqlios nand(false, true)",,,909535477.0,77
"feature=spqlios nand(false, true)",,,941168595.0,78
"feature=spqlios nand(false, true)",,,1302232290.0,79
"feature=spqlios nand(false, true)",,,969379370.0,80
"feature=spqlios nand(false, true)",,,940964373.0,81
"feature=spqlios nand(false, true)",,,1344699892.0,82
"feature=spqlios nand(false, true)",,,951343978.0,83
"feature=spqlios nand(false, true)",,,1014190053.0,84
"feature=spqlios nand(false, true)",,,950425054.0,85
"feature=spqlios nand(false, true)",,,967782725.0,86
"feature=spqlios nand(false, true)",,,1320921104.0,87
"feature=spqlios nand(false, true)",,,1019105831.0,88
"feature=spqlios nand(false, true)",,,1163443979.0,89
"feature=spqlios nand(false, true)",,,1071513255.0,90
"feature=spqlios nand(false, true)",,,1069102058.0,91
"feature=spqlios nand(false, true)",,,1100748543.0,92
"feature=spqlios nand(false, true)",,,1193573056.0,93
"feature=spqlios nand(false, true)",,,1097354660.0,94
"feature=spqlios nand(false, true)",,,1207555157.0,95
"feature=spqlios nand(false, true)",,,1147367455.0,96
"feature=spqlios nand(false, true)",,,1168097017.0,97
"feature=spqlios nand(false, true)",,,1236131656.0,98
"feature=spqlios nand(false, true)",,,1197340256.0,99
"feature=spqlios nand(false, true)",,,1301241016.0,100
