group,function,value,sample_time_nanos,iteration_count
"feature=spqlios nand(false, true)",,,6549321.0,1
"feature=spqlios nand(false, true)",,,13595251.0,2
"feature=spqlios nand(false, true)",,,19467548.0,3
"feature=spqlios nand(false, true)",,,30602726.0,4
"feature=spqlios nand(false, true)",,,35142766.0,5
"feature=spqlios nand(false, true)",,,41120666.0,6
"feature=spqlios nand(false, true)",,,50613395.0,7
"feature=spqlios nand(false, true)",,,53186130.0,8
"feature=spqlios nand(false, true)",,,57610502.0,9
"feature=spqlios nand(false, true)",,,63286527.0,10
"feature=spqlios nand(false, true)",,,69112724.0,11
"feature=spqlios nand(false, true)",,,75528637.0,12
"feature=spqlios nand(false, true)",,,81867437.0,13
"feature=spqlios nand(false, true)",,,88899818.0,14
"feature=spqlios nand(false, true)",,,94764499.0,15
"feature=spqlios nand(false, true)",,,101024933.0,16
"feature=spqlios nand(false, true)",,,108346478.0,17
"feature=spqlios nand(false, true)",,,117052316.0,18
"feature=spqlios nand(false, true)",,,134492190.0,19
"feature=spqlios nand(false, true)",,,143071534.0,20
"feature=spqlios nand(false, true)",,,132017939.0,21
"feature=spqlios nand(false, true)",,,138776658.0,22
"feature=spqlios nand(false, true)",,,146557304.0,23
"feature=spqlios nand(false, true)",,,151343272.0,24
"feature=spqlios nand(false, true)",,,156874924.0,25
"feature=spqlios nand(false, true)",,,165680478.0,26
"feature=spqlios nand(false, true)",,,187222603.0,27
"feature=spqlios nand(false, true)",,,176636006.0,28
"feature=spqlios nand(false, true)",,,183225695.0,29
"feature=spqlios nand(false, true)",,,189331835.0,30
"feature=spqlios nand(false, true)",,,195348766.0,31
"feature=spqlios nand(false, true)",,,227493116.0,32
"feature=spqlios nand(false, true)",,,219378814.0,33
"feature=spqlios nand(false, true)",,,214036100.0,34
"feature=spqlios nand(false, true)",,,220564951.0,35
"feature=spqlios nand(false, true)",,,226994380.0,36
"feature=spqlios nand(false, true)",,,251193046.0,37
"feature=spqlios nand(false, true)",,,239841350.0,38
"feature=spqlios nand(false, true)",,,245549852.0,39
"feature=spqlios nand(false, true)",,,252842029.0,40
"feature=spqlios nand(false, true)",,,277376787.0,41
"feature=spqlios nand(false, true)",,,266865488.0,42
"feature=spqlios nand(false, true)",,,272266104.0,43
"feature=spqlios nand(false, true)",,,276675765.0,44
"feature=spqlios nand(false, true)",,,302587695.0,45
"feature=spqlios nand(false, true)",,,289268702.0,46
"feature=spqlios nand(false, true)",,,304351647.0,47
"feature=spqlios nand(false, true)",,,379894085.0,48
"feature=spqlios nand(false, true)",,,327923762.0,49
"feature=spqlios nand(false, true)",,,370916515.0,50
"feature=spqlios nand(false, true)",,,340958637.0,51
"feature=spqlios nand(false, true)",,,339229722.0,52
"feature=spqlios nand(false, true)",,,337118008.0,53
"feature=spqlios nand(false, true)",,,345215739.0,54
"feature=spqlios nand(false, true)",,,366375853.0,55
"feature=spqlios nand(false, true)",,,353291150.0,56
"feature=spqlios nand(false, true)",,,376857893.0,57
"feature=spqlios nand(false, true)",,,375086848.0,58
"feature=spqlios nand(false, true)",,,383039893.0,59
"feature=spqlios nand(false, true)",,,408228752.0,60
"feature=spqlios nand(false, true)",,,387368109.0,61
"feature=spqlios nand(false, true)",,,393560763.0,62
"feature=spqlios nand(false, true)",,,413493790.0,63
"feature=spqlios nand(false, true)",,,406011842.0,64
"feature=spqlios nand(false, true)",,,466811499.0,65
"feature=spqlios nand(false, true)",,,422640867.0,66
"feature=spqlios nand(false, true)",,,428715978.0,67
"feature=spqlios nand(false, true)",,,473464558.0,68
"feature=spqlios nand(false, true)",,,451461107.0,69
"feature=spqlios nand(false, true)",,,475780332.0,70
"feature=spqlios nand(false, true)",,,453409971.0,71
"feature=spqlios nand(false, true)",,,510241942.0,72
"feature=spqlios nand(false, true)",,,464187719.0,73
"feature=spqlios nand(false, true)",,,476399957.0,74
"feature=spqlios nand(false, true)",,,512860016.0,75
"feature=spqlios nand(false, true)",,,500465098.0,76
"feature=spqlios nand(false, true)",,,515733848.0,77
"feature=spqlios nand(false, true)",,,496498089.0,78
"feature=spqlios nand(false, true)",,,528360002.0,79
"feature=spqlios nand(false, true)",,,509890946.0,80
"feature=spqlios nand(false, true)",,,534419600.0,81
"feature=spqlios nand(false, true)",,,522891817.0,82
"feature=spqlios nand(false, true)",,,548025625.0,83
"feature=spqlios nand(false, true)",,,537918439.0,84
"feature=spqlios nand(false, true)",,,558603660.0,85
"feature=spqlios nand(false, true)",,,545949369.0,86
"feature=spqlios nand(false, true)",,,575356332.0,87
"feature=spqlios nand(false, true)",,,560844874.0,88
"feature=spqlios nand(false, true)",,,587381140.0,89
"feature=spqlios nand(false, true)",,,595872941.0,90
"feature=spqlios nand(false, true)",,,587721323.0,91
"feature=spqlios nand(false, true)",,,619606896.0,92
"feature=spqlios nand(false, true)",,,601716414.0,93
"feature=spqlios nand(false, true)",,,628569410.0,94
"feature=spqlios nand(false, true)",,,611018889.0,95
"feature=spqlios nand(false, true)",,,640505694.0,96
"feature=spqlios nand(false, true)",,,651388077.0,97
"feature=spqlios nand(false, true)",,,629873061.0,98
"feature=spqlios nand(false, true)",,,661751338.0,99
"feature=spqlios nand(false, true)",,,651274959.0,100
