group,function,value,sample_time_nanos,iteration_count
nand,,,986171.0,47
nand,,,1900684.0,94
nand,,,2892646.0,141
nand,,,3876271.0,188
nand,,,4941427.0,235
nand,,,5811107.0,282
nand,,,6835228.0,329
nand,,,8249181.0,376
nand,,,8847734.0,423
nand,,,9928505.0,470
nand,,,10724565.0,517
nand,,,11530791.0,564
nand,,,12621101.0,611
nand,,,13470646.0,658
nand,,,14523774.0,705
nand,,,15370126.0,752
nand,,,16320621.0,799
nand,,,17336557.0,846
nand,,,18233667.0,893
nand,,,19420354.0,940
nand,,,20240168.0,987
nand,,,21215101.0,1034
nand,,,22181405.0,1081
nand,,,23083547.0,1128
nand,,,24161580.0,1175
nand,,,25243882.0,1222
nand,,,26330252.0,1269
nand,,,27819981.0,1316
nand,,,28009721.0,1363
nand,,,31253792.0,1410
nand,,,31371831.0,1457
nand,,,31477951.0,1504
nand,,,32710888.0,1551
nand,,,33140481.0,1598
nand,,,33706431.0,1645
nand,,,35644563.0,1692
nand,,,35578944.0,1739
nand,,,36925073.0,1786
nand,,,37672429.0,1833
nand,,,38384430.0,1880
nand,,,39941377.0,1927
nand,,,40559137.0,1974
nand,,,42443315.0,2021
nand,,,48381302.0,2068
nand,,,48083821.0,2115
nand,,,44500070.0,2162
nand,,,45427453.0,2209
nand,,,48726138.0,2256
nand,,,47031125.0,2303
nand,,,48280691.0,2350
nand,,,48974799.0,2397
nand,,,50267754.0,2444
nand,,,51227145.0,2491
nand,,,55308793.0,2538
nand,,,53921681.0,2585
nand,,,54032679.0,2632
nand,,,55057177.0,2679
nand,,,55906529.0,2726
nand,,,57182827.0,2773
nand,,,57710940.0,2820
nand,,,58488086.0,2867
nand,,,60112523.0,2914
nand,,,64906198.0,2961
nand,,,61411456.0,3008
nand,,,63069128.0,3055
nand,,,63484397.0,3102
nand,,,64736660.0,3149
nand,,,65669338.0,3196
nand,,,66422512.0,3243
nand,,,68833493.0,3290
nand,,,71776734.0,3337
nand,,,69784814.0,3384
nand,,,70794487.0,3431
nand,,,71415039.0,3478
nand,,,72346371.0,3525
nand,,,73085530.0,3572
nand,,,74639248.0,3619
nand,,,89145649.0,3666
nand,,,77775513.0,3713
nand,,,79135938.0,3760
nand,,,77872091.0,3807
nand,,,78807897.0,3854
nand,,,82855705.0,3901
nand,,,84515480.0,3948
nand,,,81706083.0,3995
nand,,,82856485.0,4042
nand,,,84054738.0,4089
nand,,,84783335.0,4136
nand,,,85712180.0,4183
nand,,,88130516.0,4230
nand,,,87959763.0,4277
nand,,,88386913.0,4324
nand,,,89660430.0,4371
nand,,,90383562.0,4418
nand,,,95258258.0,4465
nand,,,92895594.0,4512
nand,,,93251977.0,4559
nand,,,94251181.0,4606
nand,,,95069085.0,4653
nand,,,96000792.0,4700
